Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
ITW2RWAT,book,2011,"Докторов, Борис Зусманович",Биографические интервью с коллегами-социологами / Ред.-сост. А.Н.Алексеев. М.: ЦСПиМ. 2011. [Электронный ресурс]. URL:http://www.socioprognoz.ru/index.php?page_id,,,,,,,2011,27/07/2021 4:59,10/12/2021 9:09,,,,,,,,Биографические интервью с коллегами-социологами / Ред.-сост. А.Н.Алексеев. М.,,,,,,,,,,,,,,ZSCC: NoCitationData[s1],,C:\Users\d_mal\Zotero\storage\ST27XP4V\publ.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LXZ4XVMQ,journalArticle,2018,"Козлова, Лариса Алексеевна","[Рец. на кн.] Докторов Б.З. Нескончаемые беседы с классиками и современниками. Опыт историко-биографического анализа: Монография / Б.З. Докторов. М.: ЦСПиМ, 2018",Социологический журнал,,1684-1581,10.19181/socjour.2018.24.4.6104,https://www.jour.fnisc.ru/index.php/socjour/article/view/6104,"Аннотация 					 						Рецензируемая книга является результатом многолетних историко-социологических и историко-биографических исследований Б.З. Докторова. В ней автор обобщает некоторые результаты анализа биографий, а также вводит читателя в методологию и процедуру историко-социологического поиска. Книга написана, как определяет сам автор, в жанре «мысленного диалога» с героями биографического повествования; она снабжена методологическими пояснениями, а также описаниями истории создания вошедших в книгу текстов. В нее включены ранее опубликованные работы автора, посвященные представителям американских исследований общественного мнения (Дж. Гэллап, Х. Кэнтрил, Д. Олигви) и отечественным социологам четырех старших поколений (Б.А. Грушин, В.А. Ядов, Т.И. Заславская, Ю.А. Левада, А.Н. Алексеев, В.Б. Голофаст, Г.С. Батыгин). Начало деятельности первого поколения связано с периодом возрождения (второго рождения) отечественной социологии в 1950‑1960-е годы.В рецензии говорится об истоках интереса Б.З. Докторова к исследуемой проблематике; дается краткое содержание книги; описывается методология исследования — поколенческий подход; а также показано значение наработок Б.З. Докторова для истории отечественной социологии и историко-биографических исследований.",27/12/2018,27/07/2021 4:59,10/12/2021 9:09,27/07/2021 4:59,177-182,,4,24,,,[Рец. на кн.] Докторов Б.З. Нескончаемые беседы с классиками и современниками. Опыт историко-биографического анализа,,,,,,,ru,Copyright (c),,,,www.jour.fnisc.ru,,ZSCC: NoCitationData[s1]  Number: 4,,C:\Users\d_mal\Zotero\storage\R4NBMEY6\Козлова_2018_[Рец. на кн.] Докторов Б.З. Нескончаемые беседы с классиками и современниками..pdf,,,биографии; историко-биографическое исследование; историко-социологическое исследование; история социологии; опросы общественного мнения в США; поколения социологов; поколенческий подход в социологии; советская/российская социология,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASAGA3NF,journalArticle,2018,"Doktorov, Boris",History of the Institute of Sociology of the RAS in Biographies and Recollections,Sociological Journal,,,10.19181/socjour.2018.24.2.5851,,"The article shows that biographical interviews with the researches of the Institute of Sociology of the RAS of different generations can be an effective tool for studying the past, present and future of this institution and Russian sociology in general. An array of over than 180 biographical interviews with Russian sociologists, conducted by the author in 2004–2018, is presented. The essential features of the history of the Institute of Sociology and the Russian sociological community as a whole are analyzed on the basis of the biographies of 51 sociologists who have worked (are working) at the Institute since its foundation in 1968. © 2018, Federal Center of Theoretical and Applied Sociology of the Russian Academy of Sciences. All rights reserved.",01/06/2018,27/07/2021 4:57,10/12/2021 9:09,,150-159,,,24,,Sociological Journal,,,,,,,,,,,,,ResearchGate,,ZSCC: NoCitationData[s1],,C:\Users\d_mal\Zotero\storage\U29Z5NL8\Doktorov_2018_History of the Institute of Sociology of the RAS in Biographies and.pdf; ,https://www.researchgate.net/publication/326094900_History_of_the_Institute_of_Sociology_of_the_RAS_in_Biographies_and_Recollections/fulltext/5c2d1ae792851c22a3562aaa/History-of-the-Institute-of-Sociology-of-the-RAS-in-Biographies-and-Recollections.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59EULXGN,journalArticle,1998,"Козлова, Лариса Алексеевна","Социология и власть: Документы и материалы. 1953-1968 / Под ред. Л.Н. Москвичева. М.: Academia, 1997.",Социологический журнал,,1684-1581,,https://www.jour.fnisc.ru/index.php/socjour/article/view/580,,1998,25/07/2021 15:29,10/12/2021 9:09,25/07/2021 15:29,С. 292-294,,03-Apr,,,,Социология и власть,,,,,,,ru,Copyright (c),,,,www.jour.fnisc.ru,,ZSCC: NoCitationData[s1]  Number: 3-4,,C:\Users\d_mal\Zotero\storage\GZ8KQNLS\Козлова_1998_Социология и власть - Документы и материалы. 1953-1968 - Под ред. Л.Н..pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRFA4DG,journalArticle,2001,"Батыгин, Геннадий Семенович; Градосельская, Галина Витальевна",Сетевые связи в профессиональном сообществе социологов: методика контент-аналитического исследования биографий,Социологический журнал,,1684-1581,,https://www.jour.fnisc.ru/index.php/socjour/article/view/668,"Аннотация 					 						-",2001,27/07/2021 5:03,10/12/2021 9:09,27/07/2021 5:03,С. 88-109,,1,,,,Сетевые связи в профессиональном сообществе социологов,,,,,,,ru,Copyright (c),,,,www.jour.fnisc.ru,,ZSCC: NoCitationData[s1]  Number: 1,,C:\Users\d_mal\Zotero\storage\P6ZKPEMF\Батыгин_Градосельская_2001_Сетевые связи в профессиональном сообществе социологов - методика.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47FM99B4,journalArticle,1994,"Батыгин, Геннадий Семенович; Девятко, Инна Феликсовна","Социология и власть: эпизоды советской истории // Тоталитаризм и посттоталитаризм (Статьи и подготовительные материалы). Кн.2. М.: ИС РАН, 1994. С. 174-201.",Тоталитаризм и посттоталитаризм (Статьи и подготовительные материалы).,,,,http://ecsocman.hse.ru/text/16924248/,"В данной статье преимущественно освещается проблема существования социологии как научной дисциплины в жестких условиях тоталитарного режима. Прослеживается происхождение понятия «тоталитаризм» и описывается различные тоталитарные модели (Арендт, Талмон), главные черты тоталитаризма как общественного строя. Большое внимание уделяется вопросу взаимоотношений интеллектуалов и власти. На фоне краткой истории русской социологии прослеживается искоренение социологической науки в СССР с внедрением тоталитарного режима и ее последующее возрождение в первой половине 60-х годов; ставится вопрос о возможности существования тоталитарной социологии. Дается подробный анализ процесса формирования новых условий для развития дисциплины в первой половине 70-х годов. Освещаются теоретические и методологические проблемы социологической науки (уточняются основные понятия и предмет социологии) и раскрывается история развития социологии как теоретической и прикладной дисциплины до второй половины девяностых годов.",1994,25/07/2021 15:15,10/12/2021 9:09,25/07/2021 15:15,174-201,,,2,,,Социология и власть,Journal Article,,,,,,ru,,,,,ecsocman.hse.ru,,ZSCC: 0000019[s0],,C:\Users\d_mal\Zotero\storage\LCX4MAHE\16924248.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNDIEZDZ,book,2012,"Firsov, B. M.",История советской социологии: 1950–1980-е годы. Очерки,,978-5-94380-126-6,,,,,2012,27/07/2021 5:00,10/12/2021 9:09,,,476,,,,,Istorii︠a︡ sovetskoĭ sot︠s︡iologii,,,,,Evropeĭskiĭ universitet v Sankt-Peterburge,Sankt-Peterburg,ru,,,,,Library of Congress ISBN,HM477.S65 F57 2012,ZSCC: NoCitationData[s1]  OCLC: ocn809929899,,C:\Users\d_mal\Zotero\storage\V4I37N6H\Firsov - 2012 - Istorii︠a︡ sovetskoĭ sot︠s︡iologii 1950-1980-e go.pdf,,,Sociology; History; Soviet Union,,,,,,,,,,,,,,,,,,,,"2. izd., ispr. i dop",,,,,,,,,,,,,,,,,,,,,,,,,,
2NRQYUXU,book,2008,"Осипов, Г.В.; Москвичев, Л.Н.",Социология и власть (как это было на самом деле),,978-5-282-02827-0,,,https://urss.ru/cgi-bin/db.pl?lang=Ru&blang=ru&page=Book&id=116175,"В предлагаемом научному сообществу труде «Социология и власть», подготовленном академиком РАН Г.В. Осиповым и д.ф.н. Л.Н. Москвичевым, обстоятельно, с привлечением обширного фактического материала представлен сложный, временами драматический процесс возрождения отечественной социологии как самостоятельной научной дисциплины, рассказало о перипетиях борьбы ученых с проявлениями догматизма и утопизма в советских общественных науках. Издание рассчитано на социологическое сообщество, преподавателей, студентов и аспирантов социологических, политологических вузов, историков науки.",2008,25/07/2021 15:33,10/12/2021 9:09,25/07/2021 15:33,,646,,,,,,,,,,Academia,Москва,,,,,,,,ZSCC: 0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8FQYBM8D,journalArticle,2018,"Моисеев, Станислав; Мальцева, Дарья Васильевна",Отбор источников для систематического обзора литературы: сравнение экспертного и алгоритмического подходов,"Социология: методология, методы, математическое моделирование",,,,https://www.fnisc.ru/index.php?page_id=2384&id=6497&l=&j=6&base=ojs3&printmode,"Сравниваются два подхода к отбору источников для систематического обзора литературы – экспертный и алгоритмический, осуществляемый на основе анализа сетей цитирования. Сравнительный анализ проводится на примере исследовательского поля изучения массового поведения. Сравнение двух подходов по формальным и содержательным критериям позволяет делать выводы не только о существенном различии, но и комплементарности получаемых результатов. Источники, отобранные алгоритмическим подходом, не воспроизводят историю развития ис¬следовательского поля, описанную через источники, отобранные экс-пертным подходом. Добавление в алгоритмический подход элементов экспертного приводит к результату, дающему представление о связях между классическими и современными публикациями и группах совре-менных работ, интересных для изучения. Полученные данные позволяют сделать вывод об основных причинах рассогласованности результатов и сформулировать рекомендации для реализации предложенной мето¬дологии в других областях.",2018,25/07/2021 15:22,10/12/2021 9:09,25/07/2021 15:22,Jul-43,,,47,,,,,,,,,,,,,,,,,ZSCC: NoCitationData[s0],,C:\Users\d_mal\Zotero\storage\PQY9CBKK\index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6RF9QQ3C,webpage,,"Докторов, Борис; Шалин, Дмитрий",Международная биографическая инициатива,,,,,http://cdclv.unlv.edu/programs/bios.html,,,25/07/2021 15:33,10/12/2021 9:09,25/07/2021 15:33,,,,,,,,,,,,,,,,,,,,,ZSCC: NoCitationData[s0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55HQV4PK,thesis,2006,"Кропачев, А.Ю.",Репрезентация сетевых взаимодействий в профессиональном сообществе российских социологов,,,,,,,2006,27/07/2021 5:03,10/12/2021 9:09,,,,,,,,,,,,,,Москва,,,,,,,,ZSCC: 0000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSMW8ZCF,journalArticle,2013,"Задорин, Игорь; Мальцева, Дарья Васильевна",Исследование информационной культуры и профессиональной коммуникации в социологическом сообществе (,Телескоп,,,,https://www.academia.edu/6657392/%D0%97%D0%B0%D0%B4%D0%BE%D1%80%D0%B8%D0%BD_%D0%98_%D0%92_%D0%9C%D0%B0%D0%BB%D1%8C%D1%86%D0%B5%D0%B2%D0%B0_%D0%94_%D0%92_%D0%98%D1%81%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5_%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B9_%D0%BA%D1%83%D0%BB%D1%8C%D1%82%D1%83%D1%80%D1%8B_%D0%B8_%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B9_%D0%BA%D0%BE%D0%BC%D0%BC%D1%83%D0%BD%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D0%B8_%D0%B2_%D1%81%D0%BE%D1%86%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%BC_%D1%81%D0%BE%D0%BE%D0%B1%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%B5_%D0%A2%D0%B5%D0%BB%D0%B5%D1%81%D0%BA%D0%BE%D0%BF_3_2013_,"В статье представлены основные результаты исследования""Профессиональная коммуникация в социологическом сообществе"", проведенного Исследовательской группой ЦИРКОН совместно с порталом Социологос.ру в декабре 2012года (массовый онлайн опрос руководителей и заместителей руководителей социологических и маркетинговых центров и коллективов России). В ходе исследования изучаласьсложившаяся в российском исследовательском сообществепрактика профессиональных коммуникаций, в т.ч. способы и основные каналы передачи и получения социологическойи маркетинговой информации. Выделены и проанализированы три уровня профессиональных коммуникаций: 1) личные профессиональные контакты руководителей социологических и маркетинговых организаций, 2) контакты междуисследовательскими центрами, 3) контакты исследовательских организаций с основными контрагентами — заказчиками и потребителями социологической и маркетинговойинформации. Полученные данные сравниваются с результатами аналогичного опроса, проведенного ЦИРКОН в 2002году. Результаты исследований позволяют сделать выводыоб изменении механизмов профессиональной коммуникации в российском исследовательском сообществе за последние 10 лет и о преобладании в настоящее время связейтипа ""заказчик — исполнитель"" между столичными и региональными исследовательскими компаниями",2013,27/07/2021 5:08,10/12/2021 9:09,27/07/2021 5:08,41–52,,,3,,,,,,,,,,,,,,,,,ZSCC: 0000003,,C:\Users\d_mal\Zotero\storage\A8HXRP8X\Задорин_И_В_Мальцева_Д_В_Исследование_информационной_культуры_и_профессиональной_коммуникации_в.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F8Q72EEF,journalArticle,2013,"Сафонова, Мария Андреевна; Винер, Борис Ефимович",Сетевой анализ социтирований этнологических публикаций в российских периодических изданиях: предварительные результаты,"Социология: методология, методы, математическое моделирование (Социология:4М)",,1994-8964,,https://www.jour.fnisc.ru/index.php/soc4m/article/view/3747,"Аннотация 					 						Авторы статьи заинтересованы в выявлении когнитивной структуры российской этнологии, т.е. исследовательских областей внутри этой дисциплины, с помощью сетевого анализа журнальных ссылок из российских научных журналов за 2005–2009 гг. В данном исследовании выяснялось насколько успешны используемые авторами алгоритмы анализа для решения поставленной ими задачи. Выявлено, что для поставленной задачи алгоритм ван-Донгена оказался более эффективным, чем алгоритм Ньюмена.",2013,27/07/2021 5:27,10/12/2021 9:09,27/07/2021 5:27,140-176,,36,,,,Сетевой анализ социтирований этнологических публикаций в российских периодических изданиях,,,,,,,ru,Copyright (c),,,,www.jour.fnisc.ru,,ZSCC: NoCitationData[s1]  Number: 36,,C:\Users\d_mal\Zotero\storage\7SAC7JE7\Сафонова_Винер_2013_Сетевой анализ социтирований этнологических публикаций в российских.pdf,,,когнитивная структура науки; российская этнология; сетевой анализ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JZTYDNJE,journalArticle,2002,"Otte, Evelien; Rousseau, Ronald","Social network analysis: a powerful strategy, also for the information sciences",Journal of Information Science,,"0165-5515, 1741-6485",10.1177/016555150202800601,http://journals.sagepub.com/doi/10.1177/016555150202800601,"Social network analysis (SNA) is not a formal theory in sociology but rather a strategy for investigating social structures. As it is an idea that can be applied in many fields, we study, in particular, its influence in the information sciences. Information scientists study publication, citation and co-citation networks, collaboration structures and other forms of social interaction networks. Moreover, the Internet represents a social network of an unprecedented scale. In all these studies social network analysis can successfully be applied. SNA is further related to recent theories concerning the free market economy, geography and transport networks. The growth of SNA is documented and a co-author network of SNA is drawn. Centrality measures of the SNA network are calculated.",2002-12,27/07/2021 5:57,10/12/2021 9:09,27/07/2021 5:57,441-453,,6,28,,Journal of Information Science,Social network analysis,,,,,,,en,,,,,DOI.org (Crossref),,ZSCC: 0002049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YB7FTB4W,journalArticle,2008,"Hou, Ying-Chen Claire; Chittaranjan, Suganthi; Barbosa, Sharon González; McCall, Kimberly; Gorski, Sharon M.",Effector caspase Dcp-1 and IAP protein Bruce regulate starvation-induced autophagy during Drosophila melanogaster oogenesis,Journal of Cell Biology,,"1540-8140, 0021-9525",10.1083/jcb.200712091,https://rupress.org/jcb/article/182/6/1127/45420/Effector-caspase-Dcp1-and-IAP-protein-Bruce,"A complex relationship exists between autophagy and apoptosis, but the regulatory mechanisms underlying their interactions are largely unknown. We conducted a systematic study of Drosophila melanogaster cell death–related genes to determine their requirement in the regulation of starvation-induced autophagy. We discovered that six cell death genes—death caspase-1 (Dcp-1), hid, Bruce, Buffy, debcl, and p53—as well as Ras–Raf–mitogen activated protein kinase signaling pathway components had a role in autophagy regulation in D. melanogaster cultured cells. During D. melanogaster oogenesis, we found that autophagy is induced at two nutrient status checkpoints: germarium and mid-oogenesis. At these two stages, the effector caspase Dcp-1 and the inhibitor of apoptosis protein Bruce function to regulate both autophagy and starvation-induced cell death. Mutations in Atg1 and Atg7 resulted in reduced DNA fragmentation in degenerating midstage egg chambers but did not appear to affect nuclear condensation, which indicates that autophagy contributes in part to cell death in the ovary. Our study provides new insights into the molecular mechanisms that coordinately regulate autophagic and apoptotic events in vivo.",22/09/2008,27/07/2021 5:50,10/12/2021 9:09,27/07/2021 5:50,1127-1139,,6,182,,,,,,,,,,en,,,,,DOI.org (Crossref),,ZSCC: 0000171,,C:\Users\d_mal\Zotero\storage\PMDGIBKM\Hou_Chittaranjan_Barbosa_McCall_Gorski_2008_Effector caspase Dcp-1 and IAP protein Bruce regulate starvation-induced.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QPFDFWMQ,journalArticle,2010,"Mali, Prashant; Chou, Bin-Kuan; Yen, Jonathan; Ye, Zhaohui; Zou, Jizhong; Dowey, Sarah; Brodsky, Robert A.; Ohm, Joyce E.; Yu, Wayne; Baylin, Stephen B.; Yusa, Kosuke; Bradley, Allan; Meyers, David J.; Mukherjee, Chandrani; Cole, Philip A.; Cheng, Linzhao",Butyrate greatly enhances derivation of human induced pluripotent stem cells by promoting epigenetic remodeling and the expression of pluripotency-associated genes,"Stem Cells (Dayton, Ohio)",,1549-4918,10.1002/stem.402,,"We report here that butyrate, a naturally occurring fatty acid commonly used as a nutritional supplement and differentiation agent, greatly enhances the efficiency of induced pluripotent stem (iPS) cell derivation from human adult or fetal fibroblasts. After transient butyrate treatment, the iPS cell derivation efficiency is enhanced by 15- to 51-fold using either retroviral or piggyBac transposon vectors expressing 4 to 5 reprogramming genes. Butyrate stimulation is more remarkable (>100- to 200-fold) on reprogramming in the absence of either KLF4 or MYC transgene. Butyrate treatment did not negatively affect properties of iPS cell lines established by either 3 or 4 retroviral vectors or a single piggyBac DNA transposon vector. These characterized iPS cell lines, including those derived from an adult patient with sickle cell disease by either the piggyBac or retroviral vectors, show normal karyotypes and pluripotency. To gain insights into the underlying mechanisms of butyrate stimulation, we conducted genome-wide gene expression and promoter DNA methylation microarrays and other epigenetic analyses on established iPS cells and cells from intermediate stages of the reprogramming process. By days 6 to 12 during reprogramming, butyrate treatment enhanced histone H3 acetylation, promoter DNA demethylation, and the expression of endogenous pluripotency-associated genes, including DPPA2, whose overexpression partially substitutes for butyrate stimulation. Thus, butyrate as a cell permeable small molecule provides a simple tool to further investigate molecular mechanisms of cellular reprogramming. Moreover, butyrate stimulation provides an efficient method for reprogramming various human adult somatic cells, including cells from patients that are more refractory to reprogramming.",2010-04,27/07/2021 5:49,10/12/2021 9:09,,713-720,,4,28,,Stem Cells,,,,,,,,eng,,,,,PubMed,,ZSCC: NoCitationData[s1]  PMID: 20201064 PMCID: PMC3015217,,C:\Users\d_mal\Zotero\storage\RSXRA9VF\Mali_Chou_Yen_Ye_Zou_Dowey_Brodsky_Ohm_Yu_Baylin_Yusa_Bradley_Meyers_Mukherjee_Cole_Cheng_2010_Butyrate greatly enhances derivation of human induced pluripotent stem cells by.pdf; ,http://www.ncbi.nlm.nih.gov/pubmed/20201064,,"Base Sequence; Butyrates; Cell Culture Techniques; Cells, Cultured; Cellular Senescence; DNA Transposable Elements; Epigenesis, Genetic; Genetic Vectors; Humans; Induced Pluripotent Stem Cells; Sequence Alignment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39SSQ7KR,journalArticle,2008,"Leydesdorff, Loet; Schank, Thomas; Scharnhorst, Andrea; de Nooy, Wouter",Animación de la evolución de la revista <i>Social networks</i> en el tiempo utilizando una extensión din´mica del escalado multidimensional,El Profesional de la Informacion,,1386-6710,10.3145/epi.2008.nov.04,https://revista.profesionaldelainformacion.com/index.php/EPI/article/view/epi.2008.nov.04,"The animation of network visualizations poses technical and theoretical challenges. Rather stable patterns are required before the mental map enables a user to make inferences over time. In order to enhance stability, we developed an extension of stress minimization with developments over time. This dynamic layouter is no longer based on linear interpolation between independent static visualizations, but change over time is used as a parameter in the optimization. Because of our focus on structural change versus stability the attention is shifted from the relational graph to the latent eigenvectors of matrices. The approach is illustrated with animations for the journal citation environments of Social networks, the (co)author networks in the carrying community of this journal, and the topical development using relations among its title words. Our results are also compared with animations based on PajekToSVGAnim and SoNIA.",01/11/2008,27/07/2021 5:55,10/12/2021 9:09,27/07/2021 5:55,611-626,,6,17,,El Profesional de la Informacion,,,,,,,,en,,,,,DOI.org (Crossref),,ZSCC: NoCitationData[s1],,C:\Users\d_mal\Zotero\storage\E6KHWYCX\04.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UN9DYXJS,journalArticle,2003,"Pontille, David; Denis, Jérôme; Grossetti, Michel; Bes, Marie-Pierre; Murtagh, Gerald; Bailey, Jake; Burali, Delphine",Authorship practices and institutional contexts in sociology: Elements for a comparison of the United States and France,Science Technology & Human Values,,,,,two anonymous reviewers for providing very helpful comments and suggestions on earlier versions of the paper.,01/01/2003,27/07/2021 5:48,10/12/2021 9:09,,217-243,,,28,,Science Technology & Human Values,Authorship practices and institutional contexts in sociology,,,,,,,,,,,,ResearchGate,,ZSCC: NoCitationData[s1],,,https://www.researchgate.net/publication/228736841_Authorship_practices_and_institutional_contexts_in_sociology_Elements_for_a_comparison_of_the_United_States_and_France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4IJRQ4E8,journalArticle,2008,"Hunter, Laura; Leahey, Erin",Collaborative research in sociology: Trends and contributing factors,American Sociologist,,0003-1232,10.1007/s12108-008-9042-1,https://arizona.pure.elsevier.com/en/publications/collaborative-research-in-sociology-trends-and-contributing-facto,,2008-12,27/07/2021 5:47,10/12/2021 9:09,27/07/2021 5:47,290-306,,4,39,,American Sociologist,Collaborative research in sociology,,,,,,,English (US),,,,,arizona.pure.elsevier.com,,ZSCC: 0000247  Publisher: Transaction Publishers,,C:\Users\d_mal\Zotero\storage\UDASTV9V\collaborative-research-in-sociology-trends-and-contributing-facto.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7X3QIWDR,webpage,2016,"Мальцева, Дарья Васильевна",«Крымский опрос»: анализ одной дискуссии в профессиональной группе сети Facebook,,,,,http://www.zircon.ru/upload/iblock/e2c/Socpoh_Krymskij_opros.pdf,,2016,27/07/2021 5:14,10/12/2021 9:09,,,,,,,,,,,,,,,,,,,,,,ZSCC: NoCitationData[s0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XFLKJD2P,bookSection,2015,"Мальцева, Дарья Васильевна",Субъекты рынка социологических исследований в России: состояние и перспективы развития (некоторые результаты исследования),XV апрельская международная научная конференция по проблемам развития экономики и общества: в 4-х книгах,,,,https://publications.hse.ru/en/chapters/195153214,"This article presents some results of the research ""Subjects of sociological research market in Russia: current state and prospects for development"", devoted to the study of applied sociology branch (public opinion & market research), which was held by ZIRCON Research Group in conjunction with the HSE Institute for Industrial and Market Studies in October-December 2013. The study is a continuation of a similar study of centers of economic analysis conducted by the HSE and Association of Russian Economic Think-Tanks (ARETT) in 2012.�",2015,27/07/2021 5:12,10/12/2021 9:09,27/07/2021 5:12,53-60,,,,,,Субъекты рынка социологических исследований в России,,,,,Higher School of Economics Publishing House,,en,,,,,,,ZSCC: NoCitationData[s1]  Pages: 53-60,,C:\Users\d_mal\Zotero\storage\RG5Q9ANU\195153214.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5BJK4HE5,journalArticle,2018,"Мальцева, Дарья Васильевна; Моисеев, Станислав; Широканова, Анна; Брик, Тимофей",Сетевой анализ биографических интервью: возможности и ограничения,Teleskop,,,,https://www.academia.edu/34590353/%D0%A1%D0%B5%D1%82%D0%B5%D0%B2%D0%BE%D0%B9_%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7_%D0%B1%D0%B8%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85_%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B2%D1%8C%D1%8E_%D0%B2%D0%BE%D0%B7%D0%BC%D0%BE%D0%B6%D0%BD%D0%BE%D1%81%D1%82%D0%B8_%D0%B8_%D0%BE%D0%B3%D1%80%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D0%BD%D0%B8%D1%8F,"В рамках данной статьи рассматриваются некоторые принципы и примеры реализации сетевого анализа биографических интервью, раскрыт общий замысел и специфика сетевого подхода к изучению структуры научного сообщества советских и российских социологов на базе биографических данных, а также выделены его возможности и ограничения. Основой для проводимого анализа выступает исследование, направленное на реконструкцию сетей взаимодействий между ключевыми фигурами советской и российской социологической науки с помощью методов сетевого анализа, основанное на материалах историко-социологического проекта Б.З. Докторова, которое в данный момент реализуется авторами.",2018,27/07/2021 5:06,10/12/2021 9:09,27/07/2021 5:06,15-24,,128,2,,,,,,,,,,,,,,,,,ZSCC: NoCitationData[s0],,C:\Users\d_mal\Zotero\storage\9U865658\Сетевой_анализ_биографических_интервью_возможности_и_ограничения.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUBL59II,journalArticle,2009,"Губа, К.С.",Российский индекс цитирования: некоторые препятствия на пути к успеху,Антропологический Форум,,,,,,2009,27/07/2021 5:20,10/12/2021 9:09,,47-591,,,9,,,,,,,,,,,,,,,,,ZSCC: 0000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9DPD4HKF,journalArticle,2012,"Соколов, Михаил Михайлович; Сафонова, М.А.; Губа, К.С.; Димке, Д.В.",Интеллектуальный ландшафт и социальная структура локального академического сообщества (случай петербургской социологии),Гуманитарные исследования,,,,https://www.hse.ru/data/2012/03/14/1265026046/WP6_2012_01_part1.pdf,,2012,27/07/2021 5:16,10/12/2021 9:09,,,,,,,,,,,,,,,,,,,,,,ZSCC: NoCitationData[s0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
